School Name,State Name [Public School] Latest available year,State Name [Public School] 2024-25,School Name [Public School] 2024-25,School ID (7-digit) – NCES Assigned [Public School] 2024-25,County Name [Public School] 2024-25,County Number [Public School] 2024-25,Web Site URL [Public School] 2024-25,Location Address 1 [Public School] 2024-25,Location City [Public School] 2024-25,Location ZIP [Public School] 2024-25,Mailing Address 1 [Public School] 2024-25,Phone Number [Public School] 2024-25,School Type [Public School] 2024-25,Agency Type [District] 2024-25,Latitude [Public School] 2024-25,Longitude [Public School] 2024-25,State School ID [Public School] 2024-25,School Level (SY 2017-18 onward) [Public School] 2024-25,Grade 9 offered [Public School] 2024-25,Grade 10 offered [Public School] 2024-25,Grade 11 offered [Public School] 2024-25,Grade 12 offered [Public School] 2024-25,Total Students All Grades (Excludes AE) [Public School] 2024-25,Grades 9-12 Students [Public School] 2024-25,Grade 9 Students [Public School] 2024-25,Grade 10 Students [Public School] 2024-25,Grade 11 Students [Public School] 2024-25,Grade 12 Students [Public School] 2024-25,Male Students [Public School] 2024-25,Female Students [Public School] 2024-25,Full-Time Equivalent (FTE) Teachers [Public School] 2024-25,Pupil/Teacher Ratio [Public School] 2024-25
MINI-CASSIA JUVENILE DETENTION CENTER,Idaho,IDAHO,MINI-CASSIA JUVENILE DETENTION CENTER,1600166,Minidoka County,16067,†,718 H STREET,RUPERT,83350,633 FREMONT,2084369928,4-Alternative Education School,1-Regular local school district that is NOT a component of a supervisory union,42.619100,-113.677586,ID-331-1100,Other,1-Yes,1-Yes,1-Yes,1-Yes,4,3,0,3,0,0,2,2,1.50,2.67
MINI-CASSIA ONLINE LEARNING ACADEMY,IDAHO,IDAHO,MINI-CASSIA ONLINE LEARNING ACADEMY,1601141,Cassia County,16031,†,3650 OVERLAND AVENUE,BURLEY,83318,3650 OVERLAND AVENUE,2083326800,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,42.506400,-113.793782,ID-151-1441,Other,1-Yes,1-Yes,1-Yes,1-Yes,89,73,5,14,19,35,37,52,0.18,494.44
MINICO SENIOR HIGH SCHOOL,Idaho,IDAHO,MINICO SENIOR HIGH SCHOOL,1600385,Minidoka County,16067,†,292 W 100 S,RUPERT,83350,292 W 100 S,2084364721,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,42.605948,-113.723063,ID-331-0150,High,1-Yes,1-Yes,1-Yes,1-Yes,1203,1203,321,322,310,250,603,600,61.13,19.68
MINISINK VALLEY HIGH SCHOOL,New York,NEW YORK,MINISINK VALLEY HIGH SCHOOL,3601784,Orange County,36071,http://www.minisink.com,2320 RT 6,MIDDLETOWN,10940,PO BOX 217-RT 6,8453555155,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,41.384021,-74.511616,NY-441101040000-441101040001,High,1-Yes,1-Yes,1-Yes,1-Yes,1116,1112,282,244,288,298,568,547,91.41,12.21
MINNEAPOLIS ACADEMY & CAREER CENTER,MINNESOTA,MINNESOTA,Minneapolis Academy & Career Center,2705036,Hennepin County,27053,http://mpls.k12.mn.us,1250 W BROADWAY AVE,MINNEAPOLIS,55411,1250 W BROADWAY AVE,6126681450,4-Alternative Education School,1-Regular local school district that is NOT a component of a supervisory union,44.999508,-93.296809,MN-030001-030001346,High,1-Yes,1-Yes,1-Yes,1-Yes,76,76,0,2,9,65,46,30,7.04,10.80
MINNEAPOLIS ACADEMY & CAREER EXTEND,MINNESOTA,MINNESOTA,Minneapolis Academy & Career Extend,2705000,Hennepin County,27053,http://mpls.k12.mn.us,1250 W BROADWAY AVE,MINNEAPOLIS,55411,1250 W BROADWAY AVE,6126681450,4-Alternative Education School,1-Regular local school district that is NOT a component of a supervisory union,44.999508,-93.296809,MN-030001-030001474,High,1-Yes,1-Yes,1-Yes,1-Yes,0,0,0,0,0,0,0,0,–,–
MINNEAPOLIS JR-SR HIGH SCHOOL,Kansas,KANSAS,Minneapolis Jr-Sr High School,2000163,Ottawa County,20143,http://www.usd239.org,602 Woodland Ave,Minneapolis,67467,PO Box 317,7853922113,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,39.126339,-97.698841,KS-D0239-1064,High,1-Yes,1-Yes,1-Yes,1-Yes,300,204,56,44,55,49,166,134,30.28,9.91
MINNECHAUG REGIONAL HIGH,Massachusetts,MASSACHUSETTS,Minnechaug Regional High,2500824,Hampden County,25013,http://www.hwrsd.org,621 Main Street,Wilbraham,01095,621 Main Street,4135969011,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,42.110927,-72.444592,MA-0680-06800505,High,1-Yes,1-Yes,1-Yes,1-Yes,990,983,249,232,261,241,505,482,69.70,14.20
MINNEOLA HIGH,Kansas,KANSAS,Minneola High,2000083,Clark County,20025,http://www.usd219.org,111 Locust,Minneola,67865,P O Box 157,6208854611,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,37.438958,-100.012992,KS-D0219-0538,High,1-Yes,1-Yes,1-Yes,1-Yes,71,71,19,15,15,22,45,26,8.86,8.01
MINNEOTA SECONDARY,Minnesota,MINNESOTA,MINNEOTA SECONDARY,2701068,Lyon County,27083,http://www.minneotaschools.org/,504 N MONROE ST,MINNEOTA,56264,BOX 98 504 N MONROE ST,5078726175,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,44.562928,-95.981117,MN-010414-010414002,High,1-Yes,1-Yes,1-Yes,1-Yes,296,196,56,50,46,44,168,128,19.03,15.55
MINNESOTA CONNECTIONS ACADEMY 7-12,Minnesota,MINNESOTA,Minnesota Connections Academy 7-12,2703694,Ramsey County,27123,http://www.connectionsacademy.com/minnesota-online-school,1350 ENERGY LANE SUITE 230,SAINT PAUL,55108,1350 ENERGY LANE SUITE 230,8003826010,1-Regular school,7-Independent Charter District,44.969301,-93.157092,MN-074017-074017018,High,1-Yes,1-Yes,1-Yes,1-Yes,3536,2816,468,605,732,1011,1549,1987,85.83,41.20
MINNESOTA NEW COUNTRY SCHOOL,Minnesota,MINNESOTA,MINNESOTA NEW COUNTRY SCHOOL,2702487,Sibley County,27143,http://www.newcountryschool.com,210 MAIN ST,HENDERSON,56044,PO BOX 488,5072483353,1-Regular school,7-Independent Charter District,44.529027,-93.903494,MN-074007-074007010,High,1-Yes,1-Yes,1-Yes,1-Yes,136,91,14,29,21,27,75,61,16.55,8.22
MINNESOTA ONLINE HIGH SCHOOL,Minnesota,MINNESOTA,MINNESOTA ONLINE HIGH SCHOOL,2703318,Ramsey County,27123,http://mnohs.org/,2314 UNIVERSITY AVE W STE 10,SAINT PAUL,55114,P.O. BOX 14385,8007648166,1-Regular school,7-Independent Charter District,44.962601,-93.195463,MN-074150-074150010,High,1-Yes,1-Yes,1-Yes,1-Yes,254,254,8,31,67,148,99,155,26.14,9.72
MINNESOTA RIVER SCHOOL,Minnesota,MINNESOTA,Minnesota River School,2704710,Nicollet County,27103,http://www.mnved.org/,801 DAVIS STREET,SAINT PETER,56082,801 DAVIS ST.,5079345420,2-Special education school,9-Specialized public school district,44.343363,-93.961876,MN-616027-616027040,Other,1-Yes,1-Yes,1-Yes,1-Yes,14,5,1,1,1,2,12,2,3.19,4.39
MINNESOTA STATE ACADEMY FOR BLIND,Minnesota,MINNESOTA,Minnesota State Academy for Blind,2703056,Rice County,27131,http://www.msa.state.mn.us/,400 6TH AVE SE,FARIBAULT,55021,400 6TH AVE SE,5074125200,2-Special education school,5-State agency providing elementary and/or secondary level instruction,44.285978,-93.259141,MN-700160-700160001,Other,1-Yes,1-Yes,1-Yes,1-Yes,46,31,2,5,6,18,22,24,14.66,3.14
MINNESOTA STATE ACADEMY FOR DEAF,Minnesota,MINNESOTA,Minnesota State Academy for Deaf,2702409,Rice County,27131,http://www.msa.state.mn.us/,615 OLOF HANSON DR,FARIBAULT,55021,615 OLOF HANSON DR,5074125200,2-Special education school,5-State agency providing elementary and/or secondary level instruction,44.297424,-93.259646,MN-700160-700160002,Other,1-Yes,1-Yes,1-Yes,1-Yes,88,31,8,3,5,15,48,40,24.95,3.53
MINNESOTA VALLEY SCHOOL,Minnesota,MINNESOTA,Minnesota Valley School,2702389,Nicollet County,27103,http://www.mnved.org/,801 DAVIS ST,SAINT PETER,56082,801 DAVIS ST,5079345420,2-Special education school,9-Specialized public school district,44.343363,-93.961876,MN-616027-616027010,Other,1-Yes,1-Yes,1-Yes,1-Yes,27,12,4,2,3,3,21,6,6.42,4.21
MINNESOTA VIRTUAL ACADEMY HIGH,Minnesota,MINNESOTA,Minnesota Virtual Academy High,2703187,Houston County,27055,http://www.houston.k12.mn.us/,306 W ELM ST,HOUSTON,55943,306 W ELM ST,5077429843,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,43.759527,-91.572178,MN-010294-010294012,High,1-Yes,1-Yes,1-Yes,1-Yes,706,706,130,170,183,223,295,411,53.01,13.32
MINNETONKA SENIOR HIGH,Minnesota,MINNESOTA,MINNETONKA SENIOR HIGH,2700546,Hennepin County,27053,http://www.minnetonkaschools.org/schools/high-school/mhs,18301 HWY 7,MINNETONKA,55345,18301 HWY 7,9524015700,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,44.909494,-93.511269,MN-010276-010276074,High,1-Yes,1-Yes,1-Yes,1-Yes,3514,3514,914,865,866,869,1779,1735,185.81,18.91
MINNEWASKA AREA WIN ACADEMY,Minnesota,MINNESOTA,Minnewaska Area WIN Academy,2703600,Pope County,27121,†,500 JOHN ST,STARBUCK,56381,500 JOHN ST,3202392257,4-Alternative Education School,1-Regular local school district that is NOT a component of a supervisory union,45.612559,-95.535951,MN-012149-012149101,Other,1-Yes,1-Yes,1-Yes,1-Yes,44,7,3,3,0,1,29,15,10.89,4.04
MINNEWASKA SECONDARY,Minnesota,MINNESOTA,MINNEWASKA SECONDARY,2702298,Pope County,27121,http://www.minnewaska.k12.mn.us,25122 STATE HIGHWAY 28,GLENWOOD,56334,25122 STATE HIGHWAY 28,3202391309,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,45.624899,-95.455288,MN-012149-012149050,High,1-Yes,1-Yes,1-Yes,1-Yes,424,424,98,114,110,102,234,190,24.18,17.54
MINNEWASKA SECONDARY ALTERNATIVE PG,Minnesota,MINNESOTA,MINNEWASKA SECONDARY ALTERNATIVE PG,2703537,Pope County,27121,†,25122 STATE HIGHWAY 28,GLENWOOD,56334,25122 STATE HIGHWAY 28,3202394800,4-Alternative Education School,1-Regular local school district that is NOT a component of a supervisory union,45.624899,-95.455288,MN-012149-012149102,High,1-Yes,1-Yes,1-Yes,1-Yes,0,0,0,0,0,0,0,0,–,–
MINNEWAUKAN HIGH SCHOOL,North Dakota,NORTH DAKOTA,MINNEWAUKAN HIGH SCHOOL,3800431,Benson County,38005,http://www.minnewaukan.k12.nd.us,4675 Hwy 281 N,Minnewaukan,58351,4675 N Hwy 281,7014735306,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,48.087171,-99.283040,ND-03005-57413,High,1-Yes,1-Yes,1-Yes,1-Yes,71,71,20,21,12,18,39,32,6.00,11.83
MINOOKA ACADEMY,Illinois,ILLINOIS,Minooka Academy,1705892,Grundy County,17063,†,101 W Wapella St,Minooka,60447,101 W Wapella St,8155212371,4-Alternative Education School,8-Other education agencies,41.454474,-88.262569,IL-24-000-0000-00-240000000009309,High,1-Yes,1-Yes,1-Yes,1-Yes,0,0,0,0,0,0,0,0,0.00,†
MINOOKA COMMUNITY HIGH SCHOOL,Illinois,ILLINOIS,Minooka Community High School,1702800,Grundy County,17063,http://www.mchs.net,26655 W Eames St,Channahon,60410,26655 W Eames St,8154672140,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,41.417370,-88.257328,IL-24-032-1110-16-240321110160001,High,1-Yes,1-Yes,1-Yes,1-Yes,2918,2918,697,717,726,778,1451,1467,164.00,17.79
MINOR DANIELS ACADEMY,KENTUCKY,KENTUCKY,Minor Daniels Academy,2102412,Jefferson County,21111,†,1960 Bashford Manor Ln,Louisville,40218,1960 Bashford Manor Ln,5024858316,4-Alternative Education School,1-Regular local school district that is NOT a component of a supervisory union,38.197800,-85.673100,KY-056275000-056275202,High,1-Yes,1-Yes,1-Yes,1-Yes,184,105,60,25,12,8,98,86,28.20,6.52
MINOR HIGH SCHOOL,Alabama,ALABAMA,Minor High School,0101752,Jefferson County,01073,http://www.jefcoed.com/MinorHS,2285 Minor Pkwy,Adamsville,35005,2285 Minor Pkwy,2053794750,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,33.576558,-86.927173,AL-037-0585,High,1-Yes,1-Yes,1-Yes,1-Yes,978,978,236,279,239,224,501,477,59.00,16.58
MINOT HIGH SCHOOL,North Dakota,NORTH DAKOTA,MINOT HIGH SCHOOL,3800442,Ward County,38101,http://www.minot.k12.nd.us,1100 11th Ave SW,Minot,58701,1100 11th Ave SW,7018574500,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,48.226976,-101.309684,ND-51001-57523,High,1-Yes,1-Yes,1-Yes,1-Yes,1086,1086,262,287,211,326,564,522,76.69,14.16
MINOT NORTH HIGH SCHOOL,NORTH DAKOTA,NORTH DAKOTA,MINOT NORTH HIGH SCHOOL,3800961,Ward County,38101,http://www.minot.k12.nd.us,2100 21st Avenue NW,Minot,58703,2100 21st Avenue NW,7014181700,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,48.260298,-101.324068,ND-51001-57563,High,1-Yes,1-Yes,1-Yes,1-Yes,1021,1021,294,269,255,203,493,528,64.43,15.85
MINOT PUBLIC SCHOOLS 9-12 VIRTUAL ACADEMY,NORTH DAKOTA,NORTH DAKOTA,MINOT PUBLIC SCHOOLS 9-12 VIRTUAL ACADEMY,3800945,Ward County,38101,http://www.minot.k12.nd.us,1100 11th Ave SW,Minot,58701,1100 11th Ave SW,7018574422,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,48.226976,-101.309684,ND-51001-56223,High,1-Yes,1-Yes,1-Yes,1-Yes,19,19,2,4,6,7,5,14,0.02,950.00
MINSTER JR/SR HIGH SCHOOL,Ohio,OHIO,Minster Jr/Sr High School,3902388,Auglaize County,39011,†,100 E 7th St,Minster,45865,100 E 7th St,4196282324,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,40.401300,-84.378800,OH-045948-025114,High,1-Yes,1-Yes,1-Yes,1-Yes,392,266,71,57,66,72,197,195,25.45,15.40
MINTO HIGH SCHOOL,North Dakota,NORTH DAKOTA,MINTO HIGH SCHOOL,3800452,Walsh County,38099,http://www.mintok12.org/,200 4th St,Minto,58261,200 4th St,7012483479,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,48.294695,-97.375221,ND-50020-57593,High,1-Yes,1-Yes,1-Yes,1-Yes,76,76,13,25,19,19,37,39,15.00,5.07
MINTO SCHOOL,Alaska,ALASKA,Minto School,0200384,Yukon-Koyukuk Census Area,02290,http://www.yksd.com/site/default.aspx?PageID=1,Laker One St,Minto,99758,PO Box 81,9077987212,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,65.152117,-149.347787,AK-52-520080,Other,1-Yes,1-Yes,1-Yes,1-Yes,55,17,6,4,5,2,28,27,6.00,9.17
MINUTEMAN REGIONAL HIGH,Massachusetts,MASSACHUSETTS,Minuteman Regional High,2501264,Middlesex County,25017,http://www.minuteman.org,758 Marrett Rd,Lexington,02421,758 Marrett Rd,7818616500,3-Career and Technical School,1-Regular local school district that is NOT a component of a supervisory union,42.445907,-71.274808,MA-0830-08300605,High,1-Yes,1-Yes,1-Yes,1-Yes,669,669,173,163,157,176,424,231,82.10,8.15
MIOAUSABLE HIGH SCHOOL,Michigan,MICHIGAN,MioAuSable High School,2606080,Oscoda County,26135,http://www.miok12.net,1110 W 8TH ST,MIO,48647,1110 W 8TH ST,9898262483,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,44.653338,-84.144378,MI-68010-02581,High,1-Yes,1-Yes,1-Yes,1-Yes,263,152,52,32,36,32,149,114,18.20,14.45
MIRA COSTA HIGH,California,CALIFORNIA,Mira Costa High,0606328,Los Angeles County,06037,†,1401 Artesia Blvd.,Manhattan Beach,90266,325 South Peck Ave.,3103187337,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,33.874700,-118.389400,CA-1975333-1935808,High,1-Yes,1-Yes,1-Yes,1-Yes,2473,2473,572,627,621,653,1274,1189,100.32,24.65
MIRA LOMA HIGH,California,CALIFORNIA,Mira Loma High,0605799,Sacramento County,06067,http://www.sanjuan.edu/miraloma,4000 Edison Ave.,Sacramento,95821,4000 Edison Ave.,9169717465,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,38.633024,-121.370393,CA-3467447-3435930,High,1-Yes,1-Yes,1-Yes,1-Yes,1655,1655,456,409,398,392,859,787,73.26,22.59
MIRA MESA HIGH,California,CALIFORNIA,Mira Mesa High,0605520,San Diego County,06073,http://www.miramesa.sandiegounified.org/,10510 Marauder Way,San Diego,92126,10510 Marauder Way,8585662262,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,32.910702,-117.141842,CA-3768338-3730181,High,1-Yes,1-Yes,1-Yes,1-Yes,2187,2187,556,540,534,557,1173,1013,86.37,25.32
MIRA MONTE HIGH,California,CALIFORNIA,Mira Monte High,0612155,Kern County,06029,http://miramonte.kernhigh.org,1800 South Fairfax Rd.,Bakersfield,93307,1800 South Fairfax Rd.,6613661800,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,35.337685,-118.933619,CA-1563529-0116400,High,1-Yes,1-Yes,1-Yes,1-Yes,2048,2048,518,518,541,471,1090,958,84.78,24.16
MIRAMAR HIGH SCHOOL,Florida,FLORIDA,MIRAMAR HIGH SCHOOL,1200253,Broward County,12011,†,3601 SW 89TH AVE,MIRAMAR,33025,3601 SW 89TH AVE,7543231350,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,25.976179,-80.261758,FL-06-1751,High,1-Yes,1-Yes,1-Yes,1-Yes,1950,1950,435,488,477,550,1030,920,74.00,26.35
MIRAMONTE HIGH,California,CALIFORNIA,Miramonte High,0600036,Contra Costa County,06013,http://www.acalanes.k12.ca.us/miramonte,750 Moraga Way,Orinda,94563,750 Moraga Way,9252803930,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,37.841046,-122.145596,CA-0761630-0734244,High,1-Yes,1-Yes,1-Yes,1-Yes,1167,1167,264,288,306,309,600,562,61.44,18.99
MISHAWAKA HIGH SCHOOL,Indiana,INDIANA,Mishawaka High School,1801183,St. Joseph County,18141,†,1202 Lincolnway E,Mishawaka,46544,1202 Lincolnway E,5742547300,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,41.662837,-86.161567,IN-7200-7461,High,1-Yes,1-Yes,1-Yes,1-Yes,1327,1313,359,351,316,287,676,651,90.00,14.74
MISHICOT HIGH,Wisconsin,WISCONSIN,Mishicot High,5501283,Manitowoc County,55071,http://www.mishicot.k12.wi.us,660 Washington St,Mishicot,54228,PO Box PO Box 280,9207553281,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,44.239000,-87.633400,WI-3661-0040,High,1-Yes,1-Yes,1-Yes,1-Yes,274,274,72,61,72,69,146,128,20.74,13.21
MISSION ACADEMY,CALIFORNIA,CALIFORNIA,Mission Academy,0614230,Los Angeles County,06037,http://missionacademy.elev8schools.org,43141 Business Center Pkwy Ste. 102,Lancaster,93535,43141 Business Center Pkwy Ste. 102,8447883965,1-Regular school,7-Independent Charter District,34.666200,-118.129748,CA-0137786-0137786,High,1-Yes,1-Yes,1-Yes,1-Yes,694,614,223,205,139,47,321,361,34.33,20.22
MISSION ACHIEVEMENT AND SUCCESS 1.0,New Mexico,NEW MEXICO,MISSION ACHIEVEMENT AND SUCCESS 1.0,3501089,Bernalillo County,35001,http://missionachievementandsuccess.com,1718 YALE BLVD SE,ALBUQUERQUE,87106,1718 YALE BLVD SE,5052423118,1-Regular school,7-Independent Charter District,35.062710,-106.621221,NM-35542000-35542001,Other,1-Yes,1-Yes,1-Yes,1-Yes,1193,325,138,96,53,38,596,597,77.00,15.49
MISSION BAY HIGH,California,CALIFORNIA,Mission Bay High,0605522,San Diego County,06073,http://www.missionbay.sandiegounified.org/,2475 Grand Ave.,San Diego,92109,2475 Grand Ave.,8585360136,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,32.800342,-117.223876,CA-3768338-3734431,High,1-Yes,1-Yes,1-Yes,1-Yes,1240,1240,347,324,304,265,638,601,60.93,20.35
MISSION COLLEGIATE H S,Texas,TEXAS,MISSION COLLEGIATE H S,4812901,Hidalgo County,48215,†,605 S LOS EBANOS RD,ALTON,78573,605 S LOS EBANOS RD,9563236120,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,26.284911,-98.333411,TX-108908-108908004,High,1-Yes,1-Yes,1-Yes,1-Yes,399,399,98,103,110,88,162,237,32.47,12.29
MISSION COMMUNITY DAY,California,CALIFORNIA,Mission Community Day,0612716,Kings County,06031,†,1128 South Dairy Ave.,Corcoran,93212,1520 Patterson Ave.,5599928885,4-Alternative Education School,1-Regular local school district that is NOT a component of a supervisory union,36.097700,-119.570900,CA-1663891-0122820,High,1-Yes,1-Yes,1-Yes,1-Yes,5,4,0,1,2,1,5,0,2.04,2.45
MISSION CONTINUATION,California,CALIFORNIA,Mission Continuation,0603189,Los Angeles County,06037,http://missionchs.lausd.org,11015 O'Melveny Ave.,San Fernando,91340,11015 O'Melveny Ave.,8183611777,4-Alternative Education School,1-Regular local school district that is NOT a component of a supervisory union,34.270295,-118.440196,CA-1964733-1931484,High,1-Yes,1-Yes,1-Yes,1-Yes,127,127,15,20,36,56,82,45,6.14,20.68
MISSION EARLY COLLEGE H S,Texas,TEXAS,MISSION EARLY COLLEGE H S,4811217,El Paso County,48141,http://www.sisd.net,10700 GATEWAY E,EL PASO,79927,P O BOX 20500,9159371200,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,31.679061,-106.265420,TX-071909-071909007,High,1-Yes,1-Yes,1-Yes,1-Yes,410,410,97,100,111,102,183,227,24.80,16.53
MISSION EARLY COLLEGE HIGH,CALIFORNIA,CALIFORNIA,Mission Early College High,0614067,Santa Clara County,06085,http://mechs.santaclarausd.org,3000 Mission College Blvd.,Santa Clara,95054,3000 Mission College Blvd.,4088555532,4-Alternative Education School,1-Regular local school district that is NOT a component of a supervisory union,37.391286,-121.982133,CA-4369674-0135970,High,1-Yes,1-Yes,1-Yes,1-Yes,183,183,30,44,50,59,71,112,7.95,23.02
MISSION H S,Texas,TEXAS,MISSION H S,4803496,Hidalgo County,48215,†,1802 W 18TH ST,MISSION,78572,1201 BRYCE DR,9563235700,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,26.223409,-98.329881,TX-108908-108908001,High,1-Yes,1-Yes,1-Yes,1-Yes,2154,2154,633,530,495,496,1141,1013,167.02,12.90
MISSION HEIGHTS PREPARATORY HIGH SCHOOL,Arizona,ARIZONA,Mission Heights Preparatory High School,0403296,Pinal County,04021,http://www.mhprep.com/,1376 E COTTONWOOD LN,CASA GRANDE,85122,7878 N 16TH ST STE 150,5208369383,1-Regular school,7-Independent Charter District,32.894836,-111.728094,AZ-90548-91158,High,1-Yes,1-Yes,1-Yes,1-Yes,551,551,161,153,136,101,271,280,40.00,13.78
MISSION HIGH,California,CALIFORNIA,Mission High,0605650,San Francisco County,06075,†,3750 18th St.,San Francisco,94114,3750 18th St.,4152416240,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,37.761833,-122.427270,CA-3868478-3834082,High,1-Yes,1-Yes,1-Yes,1-Yes,993,993,174,297,260,262,528,464,59.42,16.71
